Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2xbI8Vmyv3TkpTdywpPyNw,"21WS9wngs9AqFckK7yYJPM","Selfish","GTTM: Goin Thru the Motions","PnB Rock",2017-01-13,245604,72,spotify:user:rmal1103401,2020-12-28T18:45:40Z,"melodic rap,rap,trap",0.638,0.6,1,-5.84,0,0.0438,0.114,0,0.187,0.0399,101.981,4
0u2P5u6lvoDfwTYjAADbn4,"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,90,spotify:user:rmal1103401,2021-01-06T02:06:12Z,"art pop,pop,pop r&b",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
2WP8G2pdddDmnh1xbfKBOI,"3TVXtAsR1Inumwj472S9r4","Finesse","Scorpion","Drake",2018-06-29,182080,78,spotify:user:rmal1103401,2021-01-27T21:13:19Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992,4
2FTeQQ5Rg9tBpgpTF5mnhE,"31W5EY0aAly4Qieq6OFu6I","Still Think About You","Artist","A Boogie Wit da Hoodie",2016-09-16,246987,78,spotify:user:rmal1103401,2021-03-17T06:41:42Z,"melodic rap,rap,trap",0.946,0.646,5,-6.604,1,0.21,0.219,0,0.0643,0.961,127.978,4
0jiW3PNiHJxOhWh9oPBJ7m,"7rkW85dBwwrJtlHRDkJDAC,0iEtIxbK0KxaSlF7G42ZOp","Held Me Down","Perfect Timing","NAV,Metro Boomin",2017-07-21,228106,58,spotify:user:rmal1103401,2021-03-17T06:42:48Z,"canadian hip hop,canadian trap,melodic rap,rap,trap",0.826,0.422,3,-8.217,0,0.11,0.483,0,0.108,0.223,119.997,4
79MSEdtXuudhGhC5AtG07g,"2HPaUgqeutzr3jx5a9WyDV","Break from Toronto","PARTYNEXTDOOR","PARTYNEXTDOOR",2013-07-01,99213,13,spotify:user:rmal1103401,2021-03-17T06:42:57Z,"r&b,rap,urban contemporary",0.596,0.678,9,-5.18,1,0.0335,0.0199,0.004,0.418,0.259,117.066,4
4y4spB9m0Q6026KfkAvy9Q,"1uNFoZAHBGtllmzznpCI3s,5CiGnKThu5ctn9pBxv7DGa","Lonely (with benny blanco)","Lonely (with benny blanco)","Justin Bieber,benny blanco",2020-10-16,149297,72,spotify:user:rmal1103401,2021-03-25T23:09:31Z,"canadian pop,pop",0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,4
30bqVoKjX479ab90a8Pafp,"2kCcBybjl3SAtIcwdWpUe3","Star Shopping","Star Shopping","Lil Peep",2015,142000,7,spotify:user:rmal1103401,2021-04-12T15:07:53Z,"cloud rap,emo rap,lgbtq+ hip hop",0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,4
7JXZq0JgG2zTrSOAgY8VMC,"3TVXtAsR1Inumwj472S9r4","Jungle","If You're Reading This It's Too Late","Drake",2015-02-12,320400,78,spotify:user:rmal1103401,2021-04-23T18:04:34Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,4
1xpXnpIpuvzpx9jz15baJF,"7rkW85dBwwrJtlHRDkJDAC,0iEtIxbK0KxaSlF7G42ZOp","Call Me","Perfect Timing","NAV,Metro Boomin",2017-07-21,215066,65,spotify:user:rmal1103401,2021-04-23T18:05:06Z,"canadian hip hop,canadian trap,melodic rap,rap,trap",0.678,0.395,9,-8.639,0,0.12,0.411,0.00544,0.122,0.136,170.065,4
